"No.","Time","Source","Destination","Protocol","Length","Info"
"62","0.000849","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=6529 Ack=222 Win=31717 Len=11"
"87","0.001466","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=6540 Ack=385 Win=31554 Len=42"
"89","0.553556","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=6582 Ack=385 Win=31554 Len=11"
"90","0.000857","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=6593 Ack=385 Win=31554 Len=15"
"95","0.024467","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=6608 Ack=422 Win=31517 Len=42"
"97","0.603031","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=6650 Ack=422 Win=31517 Len=11"
"98","0.000865","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=6661 Ack=422 Win=31517 Len=15"
"103","0.000945","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=6676 Ack=440 Win=31499 Len=11"
"104","0.009673","206.127.152.131","192.168.0.10","TCP","73","15152  >  49209 [PSH, ACK] Seq=6687 Ack=440 Win=31499 Len=19"
"107","0.026361","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=6706 Ack=466 Win=31473 Len=42"
"110","0.001349","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=6759 Ack=466 Win=31473 Len=15"
"115","0.001433","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=6774 Ack=503 Win=31436 Len=42"
"117","0.582122","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=6816 Ack=503 Win=31436 Len=11"
"118","0.000853","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=6827 Ack=503 Win=31436 Len=15"
"123","0.001422","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=6842 Ack=540 Win=31399 Len=42"
"125","0.593439","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=6884 Ack=540 Win=31399 Len=11"
"126","0.001090","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=6895 Ack=540 Win=31399 Len=15"
"131","0.022156","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=6910 Ack=577 Win=31362 Len=42"
"133","0.583405","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=6952 Ack=577 Win=31362 Len=11"
"134","0.000886","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=6963 Ack=577 Win=31362 Len=15"
"139","0.025417","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=6978 Ack=614 Win=31325 Len=42"
"141","0.573306","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7020 Ack=614 Win=31325 Len=11"
"142","0.000382","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7031 Ack=614 Win=31325 Len=15"
"147","0.025971","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7046 Ack=651 Win=32742 Len=42"
"150","0.000869","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7099 Ack=651 Win=32742 Len=15"
"155","0.025105","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7114 Ack=688 Win=32705 Len=42"
"159","0.000552","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7156 Ack=688 Win=32705 Len=11"
"160","0.000813","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7167 Ack=688 Win=32705 Len=15"
"165","0.026678","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7182 Ack=725 Win=32668 Len=42"
"167","0.553559","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7224 Ack=725 Win=32668 Len=11"
"168","0.000851","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7235 Ack=725 Win=32668 Len=15"
"173","0.024708","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7250 Ack=762 Win=32631 Len=42"
"175","0.543299","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7292 Ack=762 Win=32631 Len=11"
"176","0.000854","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7303 Ack=762 Win=32631 Len=15"
"181","0.024412","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7318 Ack=799 Win=32594 Len=42"
"183","0.521671","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7360 Ack=799 Win=32594 Len=11"
"184","0.000875","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7371 Ack=799 Win=32594 Len=15"
"189","0.026136","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7386 Ack=836 Win=32557 Len=42"
"191","0.512916","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7428 Ack=836 Win=32557 Len=11"
"192","0.000821","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7439 Ack=836 Win=32557 Len=15"
"197","0.023656","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7454 Ack=873 Win=32520 Len=42"
"199","0.502691","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7496 Ack=873 Win=32520 Len=11"
"200","0.000817","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7507 Ack=873 Win=32520 Len=15"
"205","0.025930","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7522 Ack=910 Win=32483 Len=42"
"207","0.472832","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7564 Ack=910 Win=32483 Len=11"
"208","0.000839","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7575 Ack=910 Win=32483 Len=15"
"213","0.024627","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7590 Ack=947 Win=32446 Len=42"
"215","0.452846","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7632 Ack=947 Win=32446 Len=11"
"216","0.000943","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7643 Ack=947 Win=32446 Len=15"
"221","0.024682","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7658 Ack=984 Win=32409 Len=42"
"223","0.441473","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7700 Ack=984 Win=32409 Len=11"
"224","0.000845","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7711 Ack=984 Win=32409 Len=15"
"229","0.025263","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7726 Ack=1021 Win=32372 Len=42"
"231","0.432769","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7768 Ack=1021 Win=32372 Len=11"
"232","0.000849","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7779 Ack=1021 Win=32372 Len=15"
"237","0.025196","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7794 Ack=1058 Win=32335 Len=42"
"239","0.432769","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7836 Ack=1058 Win=32335 Len=11"
"240","0.000878","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7847 Ack=1058 Win=32335 Len=15"
"245","0.023882","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7862 Ack=1095 Win=32298 Len=42"
"247","0.432888","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7904 Ack=1095 Win=32298 Len=11"
"248","0.000836","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7915 Ack=1095 Win=32298 Len=15"
"253","0.023594","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7930 Ack=1132 Win=32261 Len=42"
"255","0.422766","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=7972 Ack=1132 Win=32261 Len=11"
"256","0.000887","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=7983 Ack=1132 Win=32261 Len=15"
"261","0.023797","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=7998 Ack=1169 Win=32224 Len=42"
"263","0.391725","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=8040 Ack=1169 Win=32224 Len=11"
"266","0.001056","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=8062 Ack=1169 Win=32224 Len=15"
"273","0.025091","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=8088 Ack=1213 Win=32180 Len=42"
"275","0.393136","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=8130 Ack=1213 Win=32180 Len=11"
"276","0.000870","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=8141 Ack=1213 Win=32180 Len=15"
"281","0.024488","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=8156 Ack=1250 Win=32143 Len=42"
"284","0.025981","206.127.152.131","192.168.0.10","TCP","182","15152  >  49209 [PSH, ACK] Seq=8198 Ack=1281 Win=32112 Len=128"
"286","0.222655","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=8326 Ack=1281 Win=32112 Len=11"
"287","0.000824","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=8337 Ack=1281 Win=32112 Len=15"
"292","0.025122","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=8352 Ack=1318 Win=32075 Len=42"
"294","0.025624","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=8394 Ack=1344 Win=32049 Len=42"
"296","0.025654","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=8436 Ack=1370 Win=32023 Len=42"
"298","0.025942","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=8478 Ack=1396 Win=31997 Len=42"
"300","0.024707","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=8520 Ack=1422 Win=31971 Len=42"
"301","0.170111","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=8562 Ack=1422 Win=31971 Len=11"
"303","0.000819","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=8573 Ack=1422 Win=31971 Len=15"
"308","0.004432","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=8588 Ack=1459 Win=31934 Len=42"
"309","0.020909","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=8630 Ack=1490 Win=31903 Len=15"
"311","0.180294","206.127.152.131","192.168.0.10","TCP","85","15152  >  49209 [PSH, ACK] Seq=8645 Ack=1490 Win=31903 Len=31"
"312","0.000703","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=8676 Ack=1490 Win=31903 Len=50"
"315","0.024687","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=8726 Ack=1516 Win=31877 Len=42"
"316","0.036019","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=8768 Ack=1516 Win=31877 Len=11"
"318","0.000824","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=8779 Ack=1516 Win=31877 Len=15"
"320","0.060868","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=8794 Ack=1527 Win=31866 Len=50"
"323","0.008635","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=8844 Ack=1553 Win=31840 Len=42"
"324","0.015968","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=8886 Ack=1579 Win=31814 Len=42"
"326","0.055372","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=8928 Ack=1579 Win=31814 Len=50"
"327","0.001674","206.127.152.131","192.168.0.10","TCP","85","15152  >  49209 [PSH, ACK] Seq=8978 Ack=1579 Win=31814 Len=31"
"329","0.001574","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=9009 Ack=1579 Win=31814 Len=50"
"331","0.024286","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=9059 Ack=1610 Win=31783 Len=15"
"332","0.017480","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=9074 Ack=1610 Win=31783 Len=50"
"334","0.001365","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=9124 Ack=1610 Win=31783 Len=50"
"336","0.025736","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=9174 Ack=1636 Win=31757 Len=42"
"337","0.148286","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=9216 Ack=1636 Win=31757 Len=50"
"339","0.001319","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=9266 Ack=1636 Win=31757 Len=50"
"341","0.025469","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=9316 Ack=1662 Win=31731 Len=42"
"342","0.044795","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=9358 Ack=1662 Win=31731 Len=50"
"344","0.000825","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=9408 Ack=1662 Win=31731 Len=50"
"346","0.024270","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=9458 Ack=1688 Win=31705 Len=42"
"348","0.019417","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=9500 Ack=1688 Win=31705 Len=11"
"349","0.000856","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=9511 Ack=1688 Win=31705 Len=15"
"351","0.004930","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=9526 Ack=1714 Win=31679 Len=42"
"353","0.059710","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=9568 Ack=1725 Win=31668 Len=50"
"354","0.001407","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=9618 Ack=1725 Win=31668 Len=50"
"357","0.023880","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=9668 Ack=1751 Win=31642 Len=42"
"358","0.053456","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=9710 Ack=1751 Win=31642 Len=50"
"360","0.001354","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=9760 Ack=1751 Win=31642 Len=50"
"362","0.024336","206.127.152.131","192.168.0.10","TCP","93","15152  >  49209 [PSH, ACK] Seq=9810 Ack=1782 Win=31611 Len=39"
"364","0.023870","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=9849 Ack=1808 Win=31585 Len=42"
"366","0.011917","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=9891 Ack=1808 Win=31585 Len=23"
"367","0.000938","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=9914 Ack=1808 Win=31585 Len=50"
"369","0.014031","206.127.152.131","192.168.0.10","TCP","182","15152  >  49209 [PSH, ACK] Seq=9964 Ack=1839 Win=31554 Len=128"
"370","0.002423","206.127.152.131","192.168.0.10","TCP","167","15152  >  49209 [PSH, ACK] Seq=10092 Ack=1839 Win=31554 Len=113"
"373","0.169630","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=10205 Ack=1865 Win=31528 Len=23"
"375","0.003593","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=10228 Ack=1865 Win=31528 Len=23"
"376","0.108984","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=10251 Ack=1865 Win=31528 Len=11"
"378","0.000823","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=10262 Ack=1865 Win=31528 Len=15"
"380","0.083545","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=10277 Ack=1876 Win=31517 Len=23"
"382","0.010099","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=10300 Ack=1876 Win=31517 Len=23"
"384","0.024542","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=10323 Ack=1902 Win=31491 Len=42"
"386","0.025766","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=10365 Ack=1928 Win=31465 Len=42"
"388","0.023489","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=10407 Ack=1954 Win=31439 Len=42"
"389","0.034484","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=10449 Ack=1954 Win=31439 Len=23"
"392","0.025382","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=10472 Ack=1980 Win=31413 Len=42"
"393","0.076612","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=10514 Ack=1980 Win=31413 Len=23"
"396","0.024572","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=10537 Ack=2006 Win=31387 Len=42"
"397","0.005678","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=10579 Ack=2006 Win=31387 Len=23"
"399","0.093345","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=10602 Ack=2006 Win=31387 Len=11"
"400","0.000880","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=10613 Ack=2006 Win=31387 Len=15"
"405","0.024140","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=10628 Ack=2043 Win=31350 Len=42"
"406","0.092151","206.127.152.131","192.168.0.10","TCP","93","15152  >  49209 [PSH, ACK] Seq=10670 Ack=2043 Win=31350 Len=39"
"408","0.000870","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=10709 Ack=2043 Win=31350 Len=50"
"410","0.023764","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=10759 Ack=2069 Win=31324 Len=42"
"412","0.025748","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=10801 Ack=2095 Win=32768 Len=42"
"415","0.004896","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=10843 Ack=2121 Win=32742 Len=42"
"416","0.017946","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=10885 Ack=2152 Win=32711 Len=15"
"418","0.059039","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=10900 Ack=2152 Win=32711 Len=50"
"419","0.001400","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=10950 Ack=2152 Win=32711 Len=50"
"421","0.001447","206.127.152.131","192.168.0.10","TCP","105","15152  >  49209 [PSH, ACK] Seq=11000 Ack=2152 Win=32711 Len=51"
"422","0.001445","206.127.152.131","192.168.0.10","TCP","85","15152  >  49209 [PSH, ACK] Seq=11051 Ack=2152 Win=32711 Len=31"
"425","0.024801","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=11082 Ack=2178 Win=32685 Len=42"
"426","0.054989","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=11124 Ack=2178 Win=32685 Len=11"
"428","0.000824","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=11135 Ack=2178 Win=32685 Len=15"
"429","0.001499","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=11150 Ack=2178 Win=32685 Len=23"
"431","0.000979","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=11173 Ack=2178 Win=32685 Len=23"
"435","0.001701","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=11196 Ack=2215 Win=32648 Len=42"
"438","0.025303","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=11238 Ack=2241 Win=32622 Len=42"
"440","0.370470","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=11280 Ack=2241 Win=32622 Len=50"
"441","0.062149","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=11330 Ack=2241 Win=32622 Len=11"
"443","0.000852","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=11341 Ack=2241 Win=32622 Len=15"
"445","0.125675","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=11356 Ack=2252 Win=32611 Len=50"
"447","0.024746","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=11406 Ack=2278 Win=32585 Len=42"
"449","0.023680","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=11448 Ack=2309 Win=32554 Len=15"
"450","0.019423","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=11463 Ack=2309 Win=32554 Len=50"
"453","0.013771","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=11513 Ack=2309 Win=32554 Len=50"
"454","0.011533","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=11563 Ack=2335 Win=32528 Len=42"
"457","0.014408","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=11605 Ack=2335 Win=32528 Len=50"
"459","0.003010","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=11655 Ack=2361 Win=32502 Len=42"
"460","0.020908","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=11697 Ack=2387 Win=32476 Len=42"
"463","0.025850","206.127.152.131","192.168.0.10","TCP","182","15152  >  49209 [PSH, ACK] Seq=11739 Ack=2418 Win=32445 Len=128"
"464","0.002423","206.127.152.131","192.168.0.10","TCP","167","15152  >  49209 [PSH, ACK] Seq=11867 Ack=2418 Win=32445 Len=113"
